Programa Educativo,Asignatura,Tema,Sitio,Enlace Directo,Alcance,Observaciones
Ingeniería Ambiental,Ingeniería Ambiental,Biodiversidad mexicana,Objetos UNAM,Enlace,Conoce e identifica flora y fauna endémica de México,"Fácil navegación, juego de cartas estilo lotería, puede ser útil para temas introductorios y ayuda a visualizar los elementos"
Ingeniería Ambiental,Ingeniería Ambiental,Célula eurariota,Objetos UNAM,Enlace,Identifica las partes de las células eucariotas,Diagrama descargable de la célula eucariote
Ingeniería Ambiental,Ingeniería Ambiental,Cédula procariota,Objetos UNAM,Enlace,Identifica las partes de las células procariotas,Diagrama descargable de la célula procariota
Ingeniería Ambiental,Ingeniería Ambiental,Monografía de la evolución,Objetos UNAM,Enlace,Conoce los antecedentes de la evolución,"Fácil navegación, línea del tiempo y actividades para ver los antescedentes de la evolución"
Ingeniería Ambiental,Ingeniería Ambiental,Metabolismo celular,Objetos UNAM,Enlace,Conoce e identifica los procesos celulares,Vídeos y recursos interactivos que muestran los procesos celulares
